Typ;Kategorie;Titel;Beschreibung;Preis;Preis_Flasche;Aktiv
Speise;KLEINIGKEITEN;BURRATA MIT TOMATEN UND BASILIKUM;;12,50 €;;NEIN
Speise;KLEINIGKEITEN;RINDERCARPACCIO MIT PARMESAN;;16,00 €;;NEIN
Speise;KLEINIGKEITEN;CROSTINI MIT LEBER;;8,50 €;;NEIN
Speise;WARME GERICHTE;HAUSGEMACHTE PASTA MIT TRÜFFEL;;24,00 €;;NEIN
Speise;WARME GERICHTE;WOLFSBARSCH VOM GRILL MIT GEMÜSE;;28,50 €;;NEIN
Speise;WARME GERICHTE;KALBSKOTELETT MIT ROSMARIN;;32,00 €;;NEIN
Speise;WARME GERICHTE;RISOTTO MIT PARMESAN;;18,00 €;;NEIN
Speise;SÜSSES;TIRAMISU NACH FAMILIENREZEPT;;8,50 €;;NEIN
Speise;SÜSSES;PANNA COTTA MIT BEEREN;;7,50 €;;NEIN
Wein;SCHAUMWEIN;CRÉMANT DE LOIRE BRUT;BOUVET LADUBAY / LOIRE;0,1L | 8,50 €;FL. | 32,00 €;NEIN
Wein;WEISSWEIN;RIESLING TROCKEN;WEINGUT WEGELER / RHEINGAU;0,2L | 7,50 €;FL. | 26,00 €;NEIN
Wein;WEISSWEIN;GRAUBURGUNDER;WEINGUT KNIPSER / PFALZ;0,2L | 8,50 €;FL. | 29,00 €;NEIN
Wein;WEISSWEIN;SAUVIGNON BLANC;WEINGUT HIEDLER / KAMPTAL;0,2L | 9,00 €;FL. | 31,00 €;NEIN
Wein;ROTWEIN;SPÄTBURGUNDER;WEINGUT MEYER-NÄKEL / AHR;0,2L | 9,50 €;FL. | 34,00 €;NEIN
Wein;ROTWEIN;CUVÉE X;WEINGUT KNIPSER / PFALZ;0,2L | 12,00 €;FL. | 42,00 €;NEIN
Wein;ROTWEIN;PRIMITIVO;MASSERIA MONACI / APULIEN;0,2L | 8,00 €;FL. | 28,00 €;NEIN
